year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Chevrolet,Malibu,LT,sedan,automatic,1g11e5sa4df255187,az,4.2,48171,gray,gray,"the hertz corporation",11900,12200,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
1996,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4fx58s1tc285815,tx,2,188907,silver,gray,"axcess financial",600,350,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
1999,Volkswagen,Jetta,GL,Sedan,,3vwrb81h6xm218744,wa,3,166657,black,gray,"donate for charity",325,400,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,suv,automatic,1fmcu9eg7ckc73405,nj,3.3,32498,gray,black,"ford motor credit company,llc",18400,16900,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
1999,,,,,automatic,2b4gp44g9xr173649,il,2.1,126385,purple,gray,"sherman dodge",925,750,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2002,Ford,Expedition,Eddie Bauer,SUV,,1fmfu18l92la26919,pa,2.6,162007,black,beige,"united acceptance",2150,750,Tue Feb 24 2015 05:01:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h75e5399429,fl,4.7,16175,—,black,"avis budget group",16150,17500,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg1c2476991,fl,3.4,54655,black,black,"lexus financial services",19850,20400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h74er320541,nv,3.7,28263,silver,black,"malco enterprise of nevada/dba budget",13450,13000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2006,Buick,Lucerne,CXS,sedan,automatic,1g4he57y26u134955,pa,3.7,47086,green,beige,"acme autos international",7175,7900,Fri Jun 05 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g11x5sl0e9295272,il,4,22564,gray,gray,"gm remarketing",16500,17000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab3en146794,nv,3.6,30753,black,black,"sc automotive world",10900,10200,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja8cr367860,fl,4.3,91621,silver,black,"wheels exchange llc",8150,9200,Wed Jan 21 2015 01:10:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,1LT,sedan,automatic,1g1pf5sc5c7372679,az,3.1,44931,silver,gray,"chapman corporate wholesale",9750,9900,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2011,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap4bl681110,tx,2.8,41455,—,gray,"nissan motor acceptance corporation",8725,8200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k20dl336478,la,4.5,45169,red,black,"enterprise veh exchange/rental",10850,10600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1cc814709,il,3.9,31084,white,black,"nissan-infiniti lt",17100,18800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2015,Kia,Soul,Base,wagon,automatic,kndjn2a22f7749108,fl,4.2,12197,silver,black,"kia motors finance",13150,13700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap4dc276152,nj,3.6,28620,gray,black,"nissan-infiniti lt",16500,16600,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2014,Kia,Optima,LX Hybrid,Sedan,automatic,knagm4ad8e5064645,wa,4.7,9873,gray,gray,"kia motors america, inc",17450,16000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2014,Ram,1500,Longhorn,crew cab,,1c6rr7pt8es230507,on,4.8,34942,silver,brown,"fca canada inc",40300,41000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj3cm103182,hi,3.5,33627,silver,black,"ford motor credit company,llc",10200,8800,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2008,Ford,F-150,STX,Regular Cab,automatic,1ftrf12228kc11291,mo,1.9,128493,white,gray,"sutton ford/ge",5425,3100,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2011,Buick,LaCrosse,CXS,Sedan,,1g4ge5ed9bf325668,pa,4.8,20944,blue,gray,"royal coast auto inc",18650,18200,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
